age,workclass,education,marital-status,occupation,sex,hours-per-week,salary
90.0,Local-gov,5th-6th,Married-civ-spouse,Farming-fishing,Male,1.0001402,<=50K
90.0,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Male,1.0,<=50K
90.0,?,10th,Separated,?,Male,1.0,>50K
17.0,?,11th,Never-married,?,Male,99.0,<=50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
68.0,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,99.0,<=50K
90.0,Self-emp-not-inc,5th-6th,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
61.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,1.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Private,1st-4th,Never-married,Priv-house-serv,Male,99.0,<=50K
17.0,Private,5th-6th,Never-married,Farming-fishing,Male,99.0,>50K
17.0,?,10th,Never-married,?,Female,1.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
17.0,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.0,>50K
90.0,Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,99.0,>50K
17.0,Self-emp-inc,11th,Never-married,Sales,Male,1.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
90.0,Self-emp-not-inc,5th-6th,Never-married,Farming-fishing,Male,1.0,>50K
90.0,?,HS-grad,Married-civ-spouse,Prof-specialty,Male,1.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,?,1st-4th,Married-civ-spouse,?,Male,99.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,>50K
17.0,Self-emp-not-inc,11th,Never-married,Protective-serv,Male,99.0,>50K
17.0,Never-worked,11th,Never-married,?,Male,1.0,<=50K
90.0,?,7th-8th,Never-married,?,Male,1.0,<=50K
17.0,Local-gov,10th,Never-married,Other-service,Male,99.0,<=50K
90.0,?,1st-4th,Separated,?,Male,99.0,>50K
17.0,Self-emp-not-inc,11th,Never-married,Farming-fishing,Male,1.0,<=50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,99.0,<=50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
34.0,?,1st-4th,Separated,?,Male,50.0,<=50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,?,7th-8th,Separated,?,Male,1.0,>50K
17.0,Self-emp-not-inc,7th-8th,Never-married,Farming-fishing,Male,99.0,<=50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,1.0,<=50K
17.0,?,10th,Never-married,?,Male,99.0,<=50K
90.0,Private,7th-8th,Never-married,Sales,Male,1.0,>50K
90.0,?,7th-8th,Separated,?,Male,1.0,>50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,1.0,>50K
17.0,Self-emp-not-inc,Preschool,Never-married,Farming-fishing,Male,65.0,<=50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,1.2077432,<=50K
90.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,1.0,<=50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
17.0,Private,10th,Never-married,Sales,Female,1.0,<=50K
80.63798,Private,5th-6th,Married-spouse-absent,Farming-fishing,Male,1.0051318,>50K
90.0,?,7th-8th,Separated,?,Male,30.0,<=50K
17.0,Self-emp-not-inc,11th,Never-married,Farming-fishing,Male,1.0,<=50K
17.0,Never-worked,10th,Never-married,?,Male,99.0,<=50K
90.0,Private,7th-8th,Never-married,Priv-house-serv,Male,1.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
17.0,Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Male,99.0,>50K
90.0,State-gov,Masters,Married-civ-spouse,Prof-specialty,Male,1.0437471,<=50K
42.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,<=50K
17.0,Without-pay,11th,Never-married,Farming-fishing,Male,1.0,<=50K
90.0,Self-emp-not-inc,7th-8th,Widowed,Farming-fishing,Male,99.0,<=50K
90.0,Private,1st-4th,Married-spouse-absent,Handlers-cleaners,Male,1.0,>50K
17.0,Never-worked,10th,Never-married,?,Male,1.0,<=50K
17.0,Private,11th,Never-married,Other-service,Female,1.0,>50K
68.0,Private,5th-6th,Separated,Priv-house-serv,Female,1.0,>50K
90.0,Private,7th-8th,Never-married,Other-service,Male,1.0,>50K
17.0,Local-gov,11th,Never-married,Other-service,Male,1.0,<=50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,<=50K
90.0,Private,1st-4th,Never-married,Priv-house-serv,Female,1.0,>50K
17.0,Private,5th-6th,Married-spouse-absent,Farming-fishing,Male,15.0,<=50K
90.0,?,Some-college,Married-civ-spouse,?,Male,1.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Male,1.0,<=50K
90.0,Private,7th-8th,Never-married,Other-service,Male,1.0,>50K
17.0,Private,10th,Never-married,Handlers-cleaners,Male,1.0,>50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,1.0,<=50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,40.0,>50K
90.0,?,7th-8th,Separated,?,Male,55.0,<=50K
90.0,Private,HS-grad,Married-civ-spouse,Prof-specialty,Male,1.0,>50K
90.0,Self-emp-not-inc,5th-6th,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
90.0,Local-gov,5th-6th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
90.0,Private,HS-grad,Never-married,?,Male,99.0,>50K
17.0,Private,5th-6th,Never-married,Farming-fishing,Male,99.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
27.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
17.0,Self-emp-not-inc,7th-8th,Never-married,Farming-fishing,Male,99.0,<=50K
90.0,Local-gov,5th-6th,Married-civ-spouse,Farming-fishing,Male,45.0,>50K
17.0,Local-gov,10th,Never-married,Protective-serv,Male,1.0,<=50K
90.0,Private,1st-4th,Widowed,Priv-house-serv,Female,1.0,>50K
90.0,Self-emp-inc,Masters,Married-civ-spouse,Farming-fishing,Male,45.0,<=50K
17.0,State-gov,11th,Never-married,Prof-specialty,Male,1.0,<=50K
17.0,Local-gov,Preschool,Married-spouse-absent,Other-service,Male,1.0,<=50K
17.0,Local-gov,10th,Never-married,Other-service,Male,19.528534,<=50K
17.0,Never-worked,10th,Never-married,?,Male,99.0,<=50K
90.0,?,1st-4th,Separated,?,Male,99.0,>50K
17.0,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Male,99.0,>50K
90.0,?,1st-4th,Separated,?,Male,99.0,>50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,1.0,>50K
90.0,Local-gov,5th-6th,Married-spouse-absent,Farming-fishing,Male,54.015167,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,<=50K
17.0,?,1st-4th,Separated,?,Male,99.0,>50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,60.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
17.0,Private,5th-6th,Never-married,Farming-fishing,Male,99.0,<=50K
90.0,Local-gov,5th-6th,Married-civ-spouse,Farming-fishing,Male,1.0,<=50K
90.0,Local-gov,5th-6th,Never-married,Farming-fishing,Male,1.0,>50K
90.0,Self-emp-not-inc,5th-6th,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
17.0,Never-worked,10th,Never-married,?,Male,1.0,<=50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,99.0,>50K
17.0,Private,Preschool,Married-spouse-absent,Farming-fishing,Male,40.0,>50K
90.0,Private,5th-6th,Married-spouse-absent,Farming-fishing,Male,60.0,<=50K
17.0,Private,10th,Never-married,Handlers-cleaners,Male,40.0,<=50K
17.0,Self-emp-not-inc,11th,Married-spouse-absent,Sales,Male,1.0,<=50K
17.0,Never-worked,1st-4th,Separated,?,Male,99.0,<=50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
90.0,State-gov,Masters,Married-civ-spouse,Prof-specialty,Male,1.0005478,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
90.0,Private,HS-grad,Married-civ-spouse,Sales,Male,1.0,>50K
90.0,Self-emp-inc,5th-6th,Widowed,Sales,Male,99.0,>50K
17.0,Self-emp-inc,10th,Never-married,Handlers-cleaners,Male,50.0,>50K
90.0,Private,Preschool,Married-spouse-absent,Priv-house-serv,Male,12.0,>50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Male,99.0,<=50K
90.0,?,1st-4th,Married-spouse-absent,?,Male,99.0,>50K
17.0,Never-worked,1st-4th,Separated,?,Male,99.0,>50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Male,1.0,<=50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,<=50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,?,Male,99.0,>50K
17.0,?,10th,Never-married,?,Male,99.0,>50K
90.0,Private,1st-4th,Separated,Priv-house-serv,Male,1.0,>50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,1.0,>50K
90.0,Private,7th-8th,Never-married,?,Male,1.4824082,<=50K
17.0,Never-worked,10th,Never-married,?,Male,99.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,1.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,50.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
17.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
24.0,?,7th-8th,Separated,?,Male,99.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,60.0,<=50K
22.0,Never-worked,1st-4th,Separated,?,Male,99.0,>50K
90.0,?,7th-8th,Separated,?,Male,1.0,>50K
90.0,?,HS-grad,Married-civ-spouse,Prof-specialty,Male,1.0,>50K
90.0,?,7th-8th,Separated,?,Male,1.0,>50K
17.0,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Male,1.0,>50K
17.0,Local-gov,5th-6th,Never-married,Farming-fishing,Male,99.0,>50K
90.0,Self-emp-not-inc,5th-6th,Widowed,Farming-fishing,Male,99.0,<=50K
17.0,?,10th,Never-married,?,Male,99.0,<=50K
17.0,Private,10th,Never-married,Craft-repair,Male,1.0,<=50K
30.0,Self-emp-inc,Some-college,Married-civ-spouse,Prof-specialty,Male,99.0,<=50K
22.0,Private,1st-4th,Separated,Priv-house-serv,Male,1.0727322,<=50K
17.0,Local-gov,10th,Never-married,Handlers-cleaners,Male,1.0,<=50K
90.0,Self-emp-not-inc,7th-8th,Never-married,Farming-fishing,Male,1.0,<=50K
90.0,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Male,1.0,<=50K
17.0,Self-emp-not-inc,11th,Never-married,Farming-fishing,Male,40.0,<=50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
17.0,Self-emp-not-inc,7th-8th,Never-married,Farming-fishing,Male,99.0,<=50K
17.0,?,10th,Never-married,?,Male,99.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,55.0,<=50K
76.674866,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,1.0035313,>50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,<=50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Male,1.0,<=50K
17.0,Self-emp-not-inc,Preschool,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
46.0,Private,Preschool,Married-spouse-absent,Priv-house-serv,Male,8.0,>50K
90.0,?,1st-4th,Separated,?,Male,99.0,>50K
90.0,?,7th-8th,Separated,?,Male,1.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,>50K
65.0,Self-emp-inc,HS-grad,Widowed,Exec-managerial,Male,99.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
17.0,Self-emp-inc,10th,Never-married,Handlers-cleaners,Male,1.0,>50K
90.0,Private,5th-6th,Married-spouse-absent,Farming-fishing,Male,1.0,>50K
90.0,Private,1st-4th,Separated,Other-service,Male,99.0,<=50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
90.0,?,7th-8th,Widowed,?,Male,1.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Self-emp-not-inc,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
17.0,?,7th-8th,Divorced,?,Male,99.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
90.0,Self-emp-not-inc,5th-6th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
17.0,?,11th,Never-married,?,Male,1.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.0,>50K
17.0,Never-worked,10th,Never-married,?,Male,99.0,<=50K
90.0,?,7th-8th,Separated,?,Male,1.0,<=50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,<=50K
17.0,Private,5th-6th,Never-married,Priv-house-serv,Male,80.0,>50K
90.0,Self-emp-not-inc,5th-6th,Married-civ-spouse,Farming-fishing,Male,1.0,<=50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
17.0,Never-worked,1st-4th,Separated,?,Male,99.0,<=50K
17.0,Private,5th-6th,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,25.0,<=50K
17.0,State-gov,Some-college,Never-married,Protective-serv,Male,1.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
90.0,Private,5th-6th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
17.0,Private,Preschool,Married-spouse-absent,Farming-fishing,Male,4.38464,<=50K
17.0,Self-emp-not-inc,11th,Never-married,Farming-fishing,Male,1.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.0,>50K
90.0,?,Some-college,Married-civ-spouse,?,Male,99.0,<=50K
65.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,?,1st-4th,Separated,?,Male,99.0,>50K
90.0,?,7th-8th,Separated,?,Male,99.0,>50K
90.0,Private,1st-4th,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Handlers-cleaners,Male,2.6039717,<=50K
90.0,?,1st-4th,Separated,?,Male,99.0,>50K
17.0,Local-gov,10th,Never-married,Protective-serv,Male,1.0,<=50K
90.0,Private,5th-6th,Married-civ-spouse,Farming-fishing,Male,60.0,>50K
90.0,Private,7th-8th,Separated,?,Male,1.0,<=50K
17.0,Private,10th,Never-married,Sales,Female,1.0,>50K
90.0,Private,Bachelors,Never-married,?,Male,99.0,>50K
65.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,<=50K
90.0,Private,7th-8th,Never-married,Sales,Male,1.0,<=50K
90.0,Private,1st-4th,Separated,Other-service,Male,99.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Male,1.0,<=50K
17.0,Private,5th-6th,Never-married,Farming-fishing,Male,99.0,<=50K
90.0,Private,5th-6th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
90.0,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,1.0,<=50K
49.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
80.83727,State-gov,7th-8th,Married-civ-spouse,Prof-specialty,Male,99.0,<=50K
90.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
17.0,?,10th,Never-married,?,Male,1.0,<=50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,Private,1st-4th,Never-married,Priv-house-serv,Female,1.0,<=50K
17.0,Self-emp-inc,10th,Never-married,Handlers-cleaners,Male,1.0,<=50K
90.0,?,HS-grad,Married-civ-spouse,Prof-specialty,Male,1.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
90.0,Private,5th-6th,Widowed,Farming-fishing,Male,1.0,<=50K
17.0,?,10th,Never-married,?,Male,99.0,<=50K
17.0,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
90.0,Private,7th-8th,Never-married,Other-service,Male,99.0,>50K
17.0,Private,10th,Never-married,Other-service,Male,1.0,<=50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,99.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,>50K
17.0,?,10th,Never-married,?,Male,99.0,<=50K
90.0,Local-gov,11th,Separated,Other-service,Male,40.0,<=50K
90.0,?,HS-grad,Never-married,?,Male,1.0,>50K
17.0,Self-emp-inc,10th,Never-married,Sales,Female,1.0,<=50K
17.0,?,10th,Never-married,?,Male,99.0,>50K
90.0,?,7th-8th,Separated,?,Male,1.0,<=50K
17.0,State-gov,11th,Never-married,Farming-fishing,Male,1.0,>50K
17.0,Private,10th,Never-married,Handlers-cleaners,Male,1.0,>50K
17.0,Self-emp-inc,10th,Never-married,Sales,Male,1.0,>50K
57.0,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Male,99.0,>50K
17.0,Local-gov,10th,Never-married,Protective-serv,Male,1.0,<=50K
90.0,Private,7th-8th,Never-married,Other-service,Male,1.0,>50K
45.0,Private,5th-6th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
17.0,Local-gov,10th,Never-married,Handlers-cleaners,Male,1.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.0,<=50K
90.0,Self-emp-not-inc,5th-6th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.0,>50K
82.20331,Private,Preschool,Married-spouse-absent,Priv-house-serv,Male,4.0,>50K
90.0,?,1st-4th,Separated,?,Male,99.0,<=50K
17.0,Self-emp-not-inc,Some-college,Never-married,Sales,Male,99.0,>50K
17.0,Private,1st-4th,Married-spouse-absent,Sales,Male,40.0,>50K
90.0,Self-emp-not-inc,5th-6th,Widowed,Farming-fishing,Male,99.0,>50K
90.0,Local-gov,Masters,Married-civ-spouse,Protective-serv,Male,99.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,Self-emp-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,4.5494328,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,60.0,<=50K
90.0,Self-emp-inc,5th-6th,Married-civ-spouse,Farming-fishing,Male,1.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.0,<=50K
90.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
90.0,Private,7th-8th,Never-married,Other-service,Male,1.0,>50K
17.0,Self-emp-inc,10th,Never-married,Handlers-cleaners,Male,1.0,<=50K
90.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
90.0,?,1st-4th,Separated,?,Male,99.0,>50K
90.0,?,7th-8th,Separated,?,Male,1.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,<=50K
90.0,Self-emp-not-inc,5th-6th,Widowed,Farming-fishing,Male,98.876465,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,<=50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
90.0,Local-gov,5th-6th,Married-spouse-absent,Farming-fishing,Male,45.0,>50K
17.0,Never-worked,10th,Separated,?,Male,99.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.0,>50K
90.0,Local-gov,5th-6th,Married-civ-spouse,Farming-fishing,Male,1.0038332,<=50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
90.0,?,7th-8th,Separated,?,Male,1.0,>50K
17.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,40.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.5979946,<=50K
90.0,Private,1st-4th,Separated,Priv-house-serv,Female,1.0,>50K
90.0,Private,1st-4th,Never-married,Priv-house-serv,Male,1.0,>50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,99.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,<=50K
89.88244,Local-gov,Preschool,Married-spouse-absent,Other-service,Male,2.534108,>50K
90.0,Private,1st-4th,Never-married,Priv-house-serv,Female,1.0,<=50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,1.0,>50K
90.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Male,1.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,<=50K
17.0,Local-gov,Assoc-voc,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,99.0,>50K
90.0,Self-emp-not-inc,5th-6th,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,<=50K
17.0,Never-worked,1st-4th,Never-married,?,Male,99.0,<=50K
90.0,Self-emp-inc,Prof-school,Married-civ-spouse,Farming-fishing,Male,1.0033128,>50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,99.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,<=50K
90.0,Self-emp-not-inc,5th-6th,Married-civ-spouse,Farming-fishing,Male,99.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,>50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
17.0,Self-emp-not-inc,11th,Never-married,Sales,Male,1.0,<=50K
17.0,Private,Preschool,Married-spouse-absent,Priv-house-serv,Male,1.0,>50K
90.0,Self-emp-inc,5th-6th,Widowed,Farming-fishing,Male,1.0152748,>50K
