age,workclass,education,marital-status,occupation,sex,hours-per-week,salary
37,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Male,45,<=50K
35,Private,HS-grad,Never-married,Transport-moving,Male,40,<=50K
57,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,40,>50K
17,Private,11th,Never-married,Handlers-cleaners,Male,17,<=50K
58,Private,1st-4th,Married-civ-spouse,Farming-fishing,Male,40,<=50K
37,Self-emp-not-inc,HS-grad,Divorced,Exec-managerial,Female,70,>50K
53,Private,Some-college,Divorced,Adm-clerical,Female,38,<=50K
42,Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,53,<=50K
37,Private,Assoc-voc,Divorced,Tech-support,Male,40,<=50K
46,Local-gov,Bachelors,Never-married,Prof-specialty,Female,40,<=50K
45,Self-emp-not-inc,Some-college,Divorced,Prof-specialty,Female,50,<=50K
52,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Male,40,<=50K
32,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,<=50K
26,Private,HS-grad,Never-married,Transport-moving,Male,70,<=50K
27,Private,Some-college,Never-married,Exec-managerial,Female,40,<=50K
22,Private,Some-college,Separated,Other-service,Female,40,<=50K
40,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Male,72,<=50K
29,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Male,50,<=50K
23,Private,Bachelors,Never-married,Other-service,Male,35,<=50K
26,Private,Bachelors,Never-married,Prof-specialty,Female,40,<=50K
42,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,43,>50K
44,Private,Some-college,Never-married,Other-service,Female,40,<=50K
53,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Female,60,>50K
60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Male,70,>50K
22,Private,HS-grad,Married-civ-spouse,Farming-fishing,Male,45,<=50K
32,Private,HS-grad,Never-married,Other-service,Female,34,<=50K
62,Local-gov,Masters,Divorced,Prof-specialty,Female,33,>50K
17,Private,11th,Never-married,Other-service,Female,12,<=50K
45,Federal-gov,Masters,Married-civ-spouse,Sales,Male,50,>50K
44,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Male,40,<=50K
20,Private,Some-college,Never-married,Other-service,Female,20,<=50K
31,Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,43,>50K
63,Private,HS-grad,Widowed,Other-service,Female,24,<=50K
34,Private,Some-college,Divorced,Sales,Female,40,<=50K
30,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,40,<=50K
35,Private,Masters,Married-civ-spouse,Prof-specialty,Male,38,<=50K
35,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Male,55,<=50K
48,Private,HS-grad,Married-civ-spouse,Prof-specialty,Male,40,>50K
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,40,<=50K
38,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,40,<=50K
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,<=50K
18,?,11th,Never-married,?,Male,72,<=50K
74,Private,5th-6th,Married-civ-spouse,Transport-moving,Male,40,<=50K
40,Private,9th,Divorced,Other-service,Female,40,<=50K
33,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Female,40,<=50K
57,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,>50K
18,Private,11th,Never-married,Adm-clerical,Female,20,<=50K
51,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,50,<=50K
51,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Female,40,<=50K
24,Private,HS-grad,Never-married,Other-service,Female,40,<=50K
69,?,Doctorate,Married-civ-spouse,?,Male,50,>50K
22,Private,HS-grad,Never-married,Sales,Female,25,<=50K
24,Private,Some-college,Never-married,Sales,Female,40,<=50K
68,?,Bachelors,Married-civ-spouse,?,Male,35,>50K
31,Private,Some-college,Never-married,Adm-clerical,Female,40,<=50K
32,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Female,40,>50K
20,Private,12th,Never-married,Prof-specialty,Female,35,<=50K
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Male,50,<=50K
21,Private,Some-college,Never-married,Handlers-cleaners,Male,40,<=50K
37,Private,Bachelors,Never-married,Exec-managerial,Male,45,<=50K
66,?,Bachelors,Married-civ-spouse,?,Male,40,>50K
33,?,Assoc-voc,Never-married,?,Female,40,<=50K
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,>50K
63,Private,HS-grad,Married-civ-spouse,Transport-moving,Female,20,<=50K
25,Private,Prof-school,Never-married,Prof-specialty,Female,30,<=50K
34,Private,HS-grad,Never-married,Handlers-cleaners,Male,40,<=50K
27,Private,Bachelors,Divorced,Exec-managerial,Male,52,<=50K
26,Private,Masters,Never-married,Exec-managerial,Male,38,<=50K
34,Private,Some-college,Married-civ-spouse,Craft-repair,Male,45,>50K
57,Private,1st-4th,Divorced,Craft-repair,Male,40,<=50K
36,Local-gov,Assoc-voc,Married-civ-spouse,Transport-moving,Male,40,<=50K
30,Private,HS-grad,Married-civ-spouse,Prof-specialty,Male,55,<=50K
44,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Male,75,>50K
22,Private,Some-college,Never-married,Sales,Female,35,<=50K
38,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,>50K
36,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Male,45,>50K
25,Self-emp-not-inc,HS-grad,Never-married,Other-service,Male,8,<=50K
17,?,11th,Never-married,?,Male,18,<=50K
27,Private,HS-grad,Divorced,Handlers-cleaners,Male,40,<=50K
23,State-gov,Bachelors,Never-married,Tech-support,Female,20,<=50K
66,?,7th-8th,Never-married,?,Male,30,<=50K
61,Private,Masters,Married-civ-spouse,Exec-managerial,Male,60,>50K
43,Private,Bachelors,Married-spouse-absent,Adm-clerical,Female,40,<=50K
35,Private,HS-grad,Divorced,Prof-specialty,Female,40,<=50K
35,Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,35,>50K
28,Private,HS-grad,Never-married,Adm-clerical,Female,38,<=50K
62,Local-gov,Some-college,Married-civ-spouse,Machine-op-inspct,Male,40,<=50K
45,Private,HS-grad,Separated,Machine-op-inspct,Female,15,<=50K
42,?,HS-grad,Divorced,?,Female,40,<=50K
35,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,58,<=50K
66,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,10,>50K
19,Private,HS-grad,Never-married,Sales,Male,20,<=50K
28,Private,Assoc-voc,Never-married,Other-service,Male,40,<=50K
20,Private,HS-grad,Never-married,Adm-clerical,Male,20,<=50K
35,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,40,>50K
21,Private,HS-grad,Never-married,Farming-fishing,Male,45,<=50K
60,Private,HS-grad,Divorced,Adm-clerical,Female,37,<=50K
18,Private,HS-grad,Never-married,Sales,Male,30,<=50K
55,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Male,40,>50K
27,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,48,<=50K
31,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,50,>50K
43,Local-gov,HS-grad,Divorced,Tech-support,Female,40,<=50K
24,Private,1st-4th,Married-civ-spouse,Other-service,Female,5,<=50K
45,Private,Bachelors,Divorced,Prof-specialty,Female,48,>50K
24,Private,Some-college,Never-married,Machine-op-inspct,Male,40,<=50K
36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,45,<=50K
24,Private,Assoc-voc,Never-married,Adm-clerical,Female,20,<=50K
49,Private,Masters,Married-civ-spouse,Exec-managerial,Male,45,>50K
28,Private,Bachelors,Never-married,Exec-managerial,Female,45,<=50K
56,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,60,<=50K
47,Private,Bachelors,Widowed,Craft-repair,Female,40,<=50K
26,Private,11th,Married-civ-spouse,Craft-repair,Male,40,<=50K
43,Private,Masters,Married-civ-spouse,Prof-specialty,Male,45,>50K
38,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Male,50,>50K
24,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,40,<=50K
41,Local-gov,Some-college,Never-married,Prof-specialty,Male,7,<=50K
18,Private,9th,Never-married,Handlers-cleaners,Male,40,<=50K
29,Private,HS-grad,Never-married,Craft-repair,Male,40,<=50K
29,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,40,<=50K
39,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,55,>50K
42,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Male,42,>50K
39,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,56,<=50K
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,>50K
62,?,11th,Divorced,?,Female,40,<=50K
27,Private,HS-grad,Never-married,Adm-clerical,Female,40,<=50K
52,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Male,40,>50K
27,Private,HS-grad,Married-spouse-absent,Farming-fishing,Female,40,<=50K
28,State-gov,Prof-school,Never-married,Prof-specialty,Male,40,<=50K
33,Private,HS-grad,Married-civ-spouse,Tech-support,Male,40,<=50K
56,Self-emp-not-inc,7th-8th,Divorced,Other-service,Female,40,<=50K
43,Private,11th,Never-married,Transport-moving,Male,42,<=50K
42,Local-gov,7th-8th,Married-spouse-absent,Other-service,Female,35,<=50K
23,Private,HS-grad,Never-married,Exec-managerial,Male,45,<=50K
46,Private,Assoc-acdm,Never-married,Prof-specialty,Female,36,<=50K
24,Private,Some-college,Never-married,Prof-specialty,Male,40,<=50K
24,Private,Bachelors,Never-married,Craft-repair,Female,40,<=50K
37,Private,Bachelors,Married-civ-spouse,Sales,Male,40,>50K
53,Private,HS-grad,Married-civ-spouse,Other-service,Male,30,>50K
36,Private,Some-college,Married-civ-spouse,Prof-specialty,Male,20,>50K
37,Private,HS-grad,Divorced,Transport-moving,Male,40,<=50K
20,?,Some-college,Never-married,?,Female,18,<=50K
19,Private,Some-college,Never-married,Other-service,Female,35,<=50K
44,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Male,35,>50K
26,Private,Some-college,Married-spouse-absent,Craft-repair,Female,35,<=50K
37,Private,Bachelors,Never-married,Machine-op-inspct,Male,32,<=50K
43,Local-gov,Masters,Divorced,Prof-specialty,Female,40,<=50K
56,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,40,>50K
42,State-gov,Some-college,Divorced,Adm-clerical,Female,40,<=50K
61,Private,7th-8th,Married-civ-spouse,Farming-fishing,Male,40,<=50K
76,Private,5th-6th,Never-married,Handlers-cleaners,Male,20,<=50K
43,Private,Bachelors,Divorced,Sales,Male,40,>50K
65,Private,Bachelors,Married-civ-spouse,Adm-clerical,Male,34,<=50K
24,Private,Bachelors,Never-married,Exec-managerial,Male,40,<=50K
22,?,Bachelors,Never-married,?,Male,25,<=50K
48,Private,10th,Married-civ-spouse,Exec-managerial,Male,45,>50K
52,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Male,40,>50K
55,Private,Bachelors,Married-civ-spouse,Sales,Male,50,>50K
53,Private,Some-college,Married-civ-spouse,Prof-specialty,Male,40,<=50K
37,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,40,>50K
51,Private,Some-college,Divorced,Adm-clerical,Female,40,>50K
27,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,>50K
22,Private,Some-college,Never-married,Sales,Male,40,<=50K
33,Private,HS-grad,Never-married,Tech-support,Male,45,<=50K
33,Private,HS-grad,Separated,Machine-op-inspct,Male,30,<=50K
34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,<=50K
59,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,<=50K
28,Private,9th,Never-married,Craft-repair,Male,40,<=50K
41,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,50,>50K
36,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,<=50K
44,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,65,>50K
28,Private,Bachelors,Never-married,Adm-clerical,Female,16,<=50K
28,Private,Doctorate,Never-married,Prof-specialty,Male,50,<=50K
20,Private,Some-college,Never-married,Adm-clerical,Female,35,<=50K
30,Private,HS-grad,Never-married,Handlers-cleaners,Male,50,<=50K
27,Private,Some-college,Divorced,Adm-clerical,Female,36,<=50K
26,Private,12th,Never-married,Craft-repair,Male,40,<=50K
30,Private,Bachelors,Never-married,Prof-specialty,Female,40,<=50K
27,Private,Bachelors,Never-married,Other-service,Male,40,<=50K
20,Private,HS-grad,Never-married,Other-service,Female,38,<=50K
38,Private,Bachelors,Never-married,Other-service,Female,35,<=50K
29,Private,11th,Divorced,Craft-repair,Male,40,<=50K
26,Private,HS-grad,Never-married,Other-service,Male,40,<=50K
32,Private,Assoc-voc,Married-civ-spouse,Tech-support,Male,40,<=50K
50,Self-emp-inc,Bachelors,Married-civ-spouse,Adm-clerical,Male,40,<=50K
45,Private,Some-college,Married-spouse-absent,Adm-clerical,Female,40,<=50K
63,?,Bachelors,Widowed,?,Female,56,<=50K
37,Private,1st-4th,Married-civ-spouse,Other-service,Male,53,<=50K
68,?,Bachelors,Married-civ-spouse,?,Male,25,<=50K
23,?,11th,Never-married,?,Male,40,<=50K
47,Private,HS-grad,Separated,Adm-clerical,Female,40,<=50K
71,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,35,<=50K
21,Private,10th,Married-civ-spouse,Other-service,Male,25,<=50K
35,Private,Some-college,Never-married,Tech-support,Female,40,<=50K
34,Private,Some-college,Divorced,Prof-specialty,Male,40,>50K
55,Private,HS-grad,Widowed,Sales,Female,40,<=50K
34,Private,Assoc-voc,Married-civ-spouse,Tech-support,Male,40,<=50K
59,Private,11th,Divorced,Farming-fishing,Male,40,<=50K
22,?,Some-college,Never-married,?,Male,40,<=50K
45,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,>50K
32,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Male,40,<=50K
39,Private,11th,Married-civ-spouse,Other-service,Male,70,<=50K
67,?,7th-8th,Married-civ-spouse,?,Male,4,<=50K
53,Private,Masters,Married-civ-spouse,Exec-managerial,Female,50,>50K
31,Private,HS-grad,Separated,Craft-repair,Female,40,<=50K
56,Private,5th-6th,Married-civ-spouse,Other-service,Male,40,<=50K
20,Private,Some-college,Never-married,Sales,Female,50,<=50K
31,Private,HS-grad,Never-married,Craft-repair,Male,50,<=50K
56,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,>50K
29,Private,Assoc-acdm,Never-married,Prof-specialty,Female,40,>50K
33,Private,Assoc-voc,Never-married,Adm-clerical,Male,45,<=50K
21,?,Some-college,Never-married,?,Male,40,<=50K
69,?,HS-grad,Divorced,?,Female,35,<=50K
51,Private,HS-grad,Widowed,Machine-op-inspct,Female,40,<=50K
45,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Male,66,<=50K
31,Private,HS-grad,Married-civ-spouse,Other-service,Female,35,<=50K
34,Private,HS-grad,Separated,Handlers-cleaners,Female,40,<=50K
28,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,40,<=50K
51,Private,7th-8th,Married-spouse-absent,Craft-repair,Male,50,<=50K
27,Private,HS-grad,Separated,Craft-repair,Male,40,<=50K
61,Private,HS-grad,Married-civ-spouse,Sales,Male,40,<=50K
33,Local-gov,Bachelors,Never-married,Prof-specialty,Female,45,<=50K
22,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Male,40,<=50K
48,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,<=50K
39,Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Male,48,>50K
26,Private,HS-grad,Married-civ-spouse,Adm-clerical,Male,45,<=50K
59,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,60,>50K
38,State-gov,HS-grad,Divorced,Adm-clerical,Female,40,<=50K
33,Private,Some-college,Never-married,Adm-clerical,Male,50,<=50K
42,Private,Some-college,Married-civ-spouse,Adm-clerical,Male,40,<=50K
52,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,<=50K
17,?,10th,Never-married,?,Female,40,<=50K
57,Private,5th-6th,Married-civ-spouse,Transport-moving,Male,50,<=50K
24,Self-emp-inc,Bachelors,Never-married,Exec-managerial,Male,40,<=50K
35,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Male,40,>50K
39,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Male,60,<=50K
23,Private,Some-college,Never-married,Sales,Female,25,<=50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,45,>50K
22,State-gov,Some-college,Never-married,Adm-clerical,Male,20,<=50K
51,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Male,20,<=50K
29,Private,12th,Never-married,Tech-support,Male,40,<=50K
20,Private,9th,Never-married,Machine-op-inspct,Female,11,<=50K
49,Private,HS-grad,Married-civ-spouse,Sales,Male,65,>50K
69,?,Assoc-voc,Widowed,?,Female,1,<=50K
52,Private,HS-grad,Married-civ-spouse,Sales,Male,60,>50K
33,?,Some-college,Divorced,?,Male,30,<=50K
32,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Female,45,<=50K
30,Private,Bachelors,Never-married,Sales,Female,40,<=50K
34,Federal-gov,Some-college,Never-married,Adm-clerical,Male,40,<=50K
42,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,60,<=50K
39,Private,Masters,Married-civ-spouse,Transport-moving,Male,40,<=50K
28,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,70,<=50K
27,Private,HS-grad,Married-civ-spouse,Adm-clerical,Male,39,<=50K
37,Private,1st-4th,Never-married,Other-service,Male,40,<=50K
24,Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Male,40,<=50K
20,Private,Some-college,Never-married,Other-service,Male,16,<=50K
38,State-gov,Some-college,Married-civ-spouse,Protective-serv,Male,40,>50K
70,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Male,30,>50K
34,Local-gov,Assoc-voc,Never-married,Craft-repair,Female,40,<=50K
29,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,60,<=50K
17,Private,11th,Never-married,Other-service,Male,17,<=50K
21,Local-gov,Some-college,Never-married,Other-service,Female,40,<=50K
40,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Male,35,>50K
49,Private,HS-grad,Never-married,Handlers-cleaners,Male,80,<=50K
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Female,20,>50K
66,State-gov,10th,Divorced,Other-service,Female,40,<=50K
60,Private,HS-grad,Married-civ-spouse,Adm-clerical,Male,40,<=50K
48,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Male,40,<=50K
35,Private,Assoc-voc,Married-civ-spouse,Tech-support,Male,38,<=50K
27,Private,Bachelors,Never-married,Tech-support,Male,40,<=50K
61,Private,7th-8th,Married-civ-spouse,Transport-moving,Male,31,<=50K
42,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Male,40,<=50K
43,Private,10th,Married-civ-spouse,Machine-op-inspct,Male,40,>50K
37,Private,Some-college,Married-civ-spouse,Craft-repair,Male,50,>50K
21,Private,Some-college,Never-married,Sales,Female,25,<=50K
59,State-gov,Bachelors,Never-married,Exec-managerial,Female,40,<=50K
67,Private,Assoc-voc,Divorced,Other-service,Female,24,<=50K
51,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Male,50,>50K
24,Private,Bachelors,Never-married,Sales,Female,30,<=50K
45,Private,Some-college,Married-civ-spouse,Adm-clerical,Female,35,>50K
51,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,25,<=50K
17,Private,HS-grad,Never-married,Sales,Female,20,<=50K
22,?,Some-college,Never-married,?,Female,30,<=50K
42,Private,HS-grad,Separated,Transport-moving,Male,40,<=50K
17,Private,11th,Never-married,Craft-repair,Male,40,<=50K
49,Private,12th,Never-married,Transport-moving,Male,35,<=50K
36,Private,Bachelors,Married-civ-spouse,Sales,Male,50,>50K
64,?,Preschool,Married-civ-spouse,?,Male,40,<=50K
18,Private,11th,Never-married,Other-service,Female,20,<=50K
39,Private,Some-college,Divorced,Adm-clerical,Female,45,<=50K
29,Private,Masters,Never-married,Prof-specialty,Male,55,<=50K
48,Private,HS-grad,Widowed,Adm-clerical,Female,40,<=50K
29,Private,HS-grad,Never-married,Transport-moving,Male,55,<=50K
36,Private,HS-grad,Divorced,Machine-op-inspct,Male,40,<=50K
24,Private,HS-grad,Never-married,Craft-repair,Male,50,<=50K
68,State-gov,Masters,Married-civ-spouse,Prof-specialty,Male,42,>50K
37,Private,HS-grad,Never-married,Machine-op-inspct,Male,38,<=50K
22,Private,11th,Married-civ-spouse,Adm-clerical,Female,20,<=50K
63,Private,Bachelors,Married-civ-spouse,Protective-serv,Male,40,>50K
36,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Male,50,>50K
35,Private,HS-grad,Divorced,Handlers-cleaners,Male,35,<=50K
53,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,52,>50K
42,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Male,8,<=50K
22,Private,Some-college,Never-married,Tech-support,Female,40,<=50K
62,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,>50K
35,Private,Assoc-voc,Never-married,Adm-clerical,Female,40,>50K
22,Private,HS-grad,Never-married,Transport-moving,Male,35,<=50K
61,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,37,<=50K
38,Private,Assoc-acdm,Divorced,Adm-clerical,Female,40,<=50K
46,Local-gov,Bachelors,Never-married,Prof-specialty,Female,40,>50K
26,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,58,>50K
42,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,60,>50K
24,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,44,<=50K
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,55,<=50K
23,Private,Bachelors,Never-married,Prof-specialty,Female,25,<=50K
34,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,45,<=50K
36,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Female,20,>50K
29,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,>50K
40,Private,Assoc-acdm,Married-civ-spouse,Sales,Male,60,>50K
44,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,>50K
